NamedEntity,Descriptive,Sentiment
Sanders,available,Negative
Sanders,federal,Neutral
Sanders,fundamental,Positive
Sanders,liberal,Positive
Sanders,moderate,Positive
Sanders,minimal,Positive
Sanders,public,Neutral
Sanders,specific,Positive
Sanders,hard,Negative
Sanders,supportive,Positive
Sanders,accessible,Negative
Sanders,basic,Negative
Sanders,willing,Positive
Sanders,many,Positive
Sanders,striking,Positive
Sanders,individual,Neutral
Sanders,unapologetic,Positive
Sanders,safe,Positive
Sanders,legal,Positive
Sanders,rare,Positive
Sanders,next,Positive
Sanders,positive,Positive
Sanders,economic,Positive
Sanders,safe,Positive
Sanders,legal,Positive
Sanders,rare,Positive
Sanders,rare,Positive
Sanders,safe,Positive
Sanders,legal,Positive
Sanders,accessible,Negative
Sanders,healthy,Positive
Sanders,less,Negative
Sanders,late,Positive
Sanders,consistent,Positive
Sanders,late,Positive
Sanders,judicial,Neutral
Sanders,respect,Positive
Sanders,particular,Positive
Sanders,enough,Positive
Sanders,targeted,Positive
Sanders,certain,Positive
Sanders,open,Positive
Sanders,center,Neutral
Sanders,past,Positive
Sanders,foreign,Neutral
Sanders,private,Positive
Sanders,available,Negative
Sanders,major,Positive
Sanders,current,Positive
Sanders,multiple,Positive
Sanders,legal,Positive
Sanders,regulatory,Neutral
Sanders,common,Positive
Sanders,firm,Positive
Sanders,TRUE,Positive
Sanders,complicated,Negative
Sanders,next,Positive
Sanders,many,Positive
Sanders,white,Positive
Sanders,liberal,Positive
Sanders,whole,Positive
Sanders,cultural,Positive
Sanders,basic,Negative
Sanders,solid,Positive
Sanders,less,Negative
Sanders,legal,Positive
Sanders,popular,Positive
Sanders,illegal,Positive
Sanders,noteworthy,Positive
Sanders,large,Positive
Sanders,little,Positive
Sanders,moderate,Positive
Sanders,sheepish,Negative
Sanders,preferred,Positive
Sanders,top,Positive
Sanders,different,Positive
Sanders,young,Positive
Sanders,black,Positive
Sanders,black,Positive
Sanders,simplistic,Negative
Sanders,black,Positive
Sanders,ideological,Positive
Sanders,economic,Positive
Sanders,more,Positive
Sanders,black,Positive
Sanders,black,Positive
Sanders,older,Positive
Sanders,former,Negative
Sanders,black,Positive
Sanders,left,Positive
Sanders,former,Negative
Sanders,willing,Positive
Sanders,unjust,Negative
Sanders,important,Positive
Sanders,own,Positive
Sanders,best,Positive
Sanders,black,Positive
Sanders,black,Positive
Sanders,particular,Positive
Sanders,black,Positive
Sanders,academic,Positive
Sanders,black,Positive
Sanders,criminal,Negative
Sanders,criminal,Negative
Sanders,black,Positive
Sanders,lower,Positive
Sanders,white,Positive
Sanders,black,Positive
Sanders,special,Positive
Sanders,black,Positive
Sanders,hard,Negative
Sanders,black,Positive
Sanders,black,Positive
Sanders,unfair,Positive
Sanders,political,Positive
Sanders,black,Positive
Sanders,black,Positive
Sanders,last,Negative
Sanders,black,Positive
Sanders,underdog,Negative
Sanders,competitive,Positive
Sanders,black,Positive
Sanders,young,Positive
Sanders,equal,Positive
Sanders,cultural,Positive
Sanders,political,Positive
Sanders,inspirational,Positive
Sanders,black,Positive
Sanders,black,Positive
Sanders,black,Positive
Sanders,simple,Positive
Sanders,committed,Positive
Sanders,fundamental,Positive
Sanders,young,Positive
Sanders,black,Positive
Sanders,economic,Positive
Sanders,black,Positive
Sanders,white,Positive
Sanders,primary,Positive
Sanders,former,Negative
Sanders,first,Positive
Sanders,black,Positive
Sanders,black,Positive
Sanders,political,Positive
Sanders,enthusiastic,Positive
Sanders,enough,Positive
Sanders,black,Positive
Sanders,careful,Positive
Sanders,same,Positive
Sanders,black,Positive
Sanders,new,Positive
Sanders,black,Positive
Sanders,busy,Positive
Sanders,new,Positive
Sanders,right,Positive
Sanders,clear,Positive
Sanders,able,Positive
Sanders,least,Negative
Sanders,strong,Positive
Sanders,many,Positive
Sanders,first,Positive
Sanders,remarkable,Positive
Sanders,first,Positive
Sanders,bad,Positive
Sanders,black,Positive
Sanders,black,Positive
Sanders,active,Positive
Sanders,black,Positive
Sanders,black,Positive
Sanders,mere,Positive
Sanders,steep,Positive
Sanders,right,Positive
Sanders,new,Positive
Sanders,online,Positive
Sanders,civil,Neutral
Sanders,federal,Neutral
Sanders,fatal,Positive
Sanders,last,Negative
Sanders,former,Negative
Sanders,only,Positive
Sanders,black,Positive
